"","s0"
"(Intercept)",-38.1090446211535
"Sex",0.25816617346156
"Smoking_PY",-0.00561048469399591
"Stage_numeric",1.8184120538157
"HPV_Positive",0.259227990427083
"HPV_Unknown",0.362357214430402
"RT_year",0.00232283422104995
"Age",-0.109223237473914
"BED_DI",0.0348420708584198
"BED_DD",0.478489561387936
