"Repetition","Horizon","CATE_Estimate","Standard_Error"
1,12,-0.0766317172949793,0.525007172475717
1,24,-0.773900199387735,1.40438170149041
1,36,-1.17275872102221,2.01016056115145
1,48,-0.969157395769163,2.04956612243389
1,60,-0.969157395769163,2.04956612243389
1,72,-0.969157395769163,2.04956612243389
1,84,-0.969157395769163,2.04956612243389
1,96,-0.969157395769163,2.04956612243389
1,108,-0.969157395769163,2.04956612243389
1,120,-0.969157395769163,2.04956612243389
2,12,0.0515637871236307,0.604634053175458
2,24,0.762698692304426,1.49100789198682
2,36,1.60040750951296,2.0786895309063
2,48,2.21003950416074,2.24598034475244
2,60,2.21003950416074,2.24598034475244
2,72,2.21003950416074,2.24598034475244
2,84,2.21003950416074,2.24598034475244
2,96,2.21003950416074,2.24598034475244
2,108,2.21003950416074,2.24598034475244
2,120,2.21003950416074,2.24598034475244
3,12,-0.138934008284475,0.64106364952087
3,24,0.929321096547585,1.53346083802255
3,36,2.05937041415,2.03417877359995
3,48,2.17222232595627,2.10134954991795
3,60,2.17222232595627,2.10134954991795
3,72,2.17222232595627,2.10134954991795
3,84,2.17222232595627,2.10134954991795
3,96,2.17222232595627,2.10134954991795
3,108,2.17222232595627,2.10134954991795
3,120,2.17222232595627,2.10134954991795
4,12,-0.135013372546776,0.483031261050219
4,24,0.0782196211036145,1.39806266090329
4,36,0.12568087585168,2.02992073222817
4,48,-0.0930106463715854,2.13650443620346
4,60,-0.0930106463715854,2.13650443620346
4,72,-0.0930106463715854,2.13650443620346
4,84,-0.0930106463715854,2.13650443620346
4,96,-0.0930106463715854,2.13650443620346
4,108,-0.0930106463715854,2.13650443620346
4,120,-0.0930106463715854,2.13650443620346
5,12,-0.0141746946312064,0.516670058349346
5,24,-0.335975167647582,1.43824071676955
5,36,-0.809127208842626,1.96327044725207
5,48,-0.644043482503301,1.99082417064962
5,60,-0.644043482503301,1.99082417064962
5,72,-0.644043482503301,1.99082417064962
5,84,-0.644043482503301,1.99082417064962
5,96,-0.644043482503301,1.99082417064962
5,108,-0.644043482503301,1.99082417064962
5,120,-0.644043482503301,1.99082417064962
6,12,0.224303984660832,0.541329785991486
6,24,1.01040621469435,1.34443439305962
6,36,1.69153336308284,1.85407384992257
6,48,1.61243088544062,1.96173167414937
6,60,1.61243088544062,1.96173167414937
6,72,1.61243088544062,1.96173167414937
6,84,1.61243088544062,1.96173167414937
6,96,1.61243088544062,1.96173167414937
6,108,1.61243088544062,1.96173167414937
6,120,1.61243088544062,1.96173167414937
7,12,-0.111119499677209,0.424979507568074
7,24,1.07050760286565,1.30557746729317
7,36,1.94180885328365,1.77398356801457
7,48,2.11640692569742,1.83000083252817
7,60,2.11640692569742,1.83000083252817
7,72,2.11640692569742,1.83000083252817
7,84,2.11640692569742,1.83000083252817
7,96,2.11640692569742,1.83000083252817
7,108,2.11640692569742,1.83000083252817
7,120,2.11640692569742,1.83000083252817
8,12,0.082681098859998,0.564423125415389
8,24,0.822819765950387,1.44839067233425
8,36,1.12558756502498,2.0367026847335
8,48,1.27540390090823,2.19882912978495
8,60,1.27540390090823,2.19882912978495
8,72,1.27540390090823,2.19882912978495
8,84,1.27540390090823,2.19882912978495
8,96,1.27540390090823,2.19882912978495
8,108,1.27540390090823,2.19882912978495
8,120,1.27540390090823,2.19882912978495
9,12,-0.0102437712999125,0.498125263804845
9,24,-0.458649537555379,1.34151661330851
9,36,-1.3448312909357,1.88733245095602
9,48,-1.50292629196546,2.02953193968732
9,60,-1.50292629196546,2.02953193968732
9,72,-1.50292629196546,2.02953193968732
9,84,-1.50292629196546,2.02953193968732
9,96,-1.50292629196546,2.02953193968732
9,108,-1.50292629196546,2.02953193968732
9,120,-1.50292629196546,2.02953193968732
10,12,0.115260305204015,0.488811942750281
10,24,0.150392585459961,1.40133764506576
10,36,0.628738122431793,1.93220575931488
10,48,0.730977143893689,1.97289755787226
10,60,0.730977143893689,1.97289755787226
10,72,0.730977143893689,1.97289755787226
10,84,0.730977143893689,1.97289755787226
10,96,0.730977143893689,1.97289755787226
10,108,0.730977143893689,1.97289755787226
10,120,0.730977143893689,1.97289755787226
