"","Horizon","CATE_Estimate_with_noise","Standard_Error"
"1",12,0.469153837722709,0.134382212097265
"2",24,1.94050397563205,0.416810884470865
"3",36,3.60650369288083,0.71888069822906
"4",48,5.65162634110352,1.08474783442229
"5",60,7.18975416058502,1.39493621711007
"6",72,8.53004967650059,1.80383809282501
"7",84,10.4543121031493,2.19650770766967
"8",96,11.929352446376,2.58658354615462
"9",108,12.9943571772612,3.03714414802137
"10",120,14.4168519937891,3.30303608192953
