"","Ds_Site_Esophagus","Ds_Site_Hypopharynx","Ds_Site_Larynx","Ds_Site_Lip_Oral_Cavity","Ds_Site_Nasal_Cavity","Ds_Site_Oropharynx","Sex","Smoking_PY","Stage_numeric","HPV_Positive","HPV_Unknown","RT_year","Age","BED_DI","BED_DD","predictions","variance.estimates","Ds_Site_Hypopharynx_SHAP","Ds_Site_Larynx_SHAP","Ds_Site_Lip_Oral_Cavity_SHAP","Ds_Site_Oropharynx_SHAP","Sex_SHAP","Smoking_PY_SHAP","Stage_numeric_SHAP","HPV_Positive_SHAP","HPV_Unknown_SHAP","RT_year_SHAP","Age_SHAP","BED_DD_SHAP"
"Ds_Site_Esophagus",1,-0.0223660698389005,-0.0298269902250247,-0.0123999882919672,-0.00887242991492196,-0.129026996347087,0.00156925603283034,-0.0542933175523491,-0.185003068461766,-0.0851353151989511,0.127430719575795,-0.01908712202257,0.0968655123505619,-0.0015297913758063,0.0180515382345143,0.0394109928314602,0.0668218436148796,0.0257687251282374,0.0311161566499468,0.0834536163466774,0.0297687723295161,-0.0346951462510909,-0.0332214446506198,-0.0967590365109307,0.0439163076940386,0.064463918580607,-0.00858957504274581,0.0531374691369863,-0.00917905568293425
"Ds_Site_Hypopharynx",-0.0223660698389005,1,-0.115299285112669,-0.0479334245488091,-0.034297286406876,-0.498767067237398,0.0605150273635517,0.126013745253086,0.0557933518621752,-0.30057825306887,0.29940747738339,-0.0654991137575486,0.119974350246317,-0.00595631388390352,0.0396992595228593,0.236521778641257,0.174667486017782,0.44999378615515,0.251805909726928,0.284645043134145,0.188657350430427,-0.066678383740129,0.107518452552903,0.108271481767543,0.214942776453975,0.119319832276098,0.074844044286388,0.0681020795990589,0.0605011909637804
"Ds_Site_Larynx",-0.0298269902250247,-0.115299285112669,1,-0.0639231566281998,-0.045738246986224,-0.665146829380796,0.0167613282898905,0.206799377166474,-0.339259366148334,-0.404813469170314,0.50307920769398,0.0111003862450563,0.0394787441165581,-0.0189950217519456,-0.0138207505937095,0.235660849720114,0.0879886704723915,-0.227275167782207,-0.242125773419128,0.212471409481679,0.263506897749383,-0.149574175638997,0.15777245950796,-0.152919075457534,0.299476282632752,0.211899871977672,0.0324277262519774,0.031237803907568,0.187942144145743
"Ds_Site_Lip_Oral_Cavity",-0.0123999882919672,-0.0479334245488091,-0.0639231566281998,1,-0.019014782344631,-0.276521795680246,-0.052315227020675,-0.0268798152575796,0.0518444144133911,-0.17030406669642,0.259381933480957,-0.0764971775136161,0.0293779058276424,-0.00327854379494484,0.0386868167803492,0.0769631376195409,0.0929052153703317,-0.0710876270875112,0.107704272238934,-0.25457191138955,0.071548844414172,-0.0524584576758616,-0.0122122326928898,0.0455201448487025,0.135417417693078,0.090398596025529,0.0502325827515418,0.0226397548608745,0.0715287914869259
"Ds_Site_Nasal_Cavity",-0.00887242991492196,-0.034297286406876,-0.045738246986224,-0.019014782344631,1,-0.197856658760774,-0.121988643452533,0.0164016251401482,-0.11975014264488,-0.080243778852166,0.0818226895468906,0.0460083147728892,-0.0749218867759817,0.0316356124061764,-0.0775474651566655,0.0549281960491539,-0.0177651898556961,0.0692344289308695,0.0340361101458711,0.0601858045262355,0.167164342594477,0.0788088143865373,0.0374397211604582,-0.01726709978132,0.0918974973938519,0.0825721566465686,-0.0276993058992008,-0.0259559929405098,0.00354196918591179
"Ds_Site_Oropharynx",-0.129026996347087,-0.498767067237398,-0.665146829380796,-0.276521795680246,-0.197856658760774,1,0.000348784084609673,-0.223782182249338,0.273705423363591,0.598072148512791,-0.713747337054657,0.0508603234169319,-0.112589914352881,0.0115742820855084,-0.0105869861269578,-0.378592332088383,-0.217010204927288,-0.0986787160158341,-0.02110124642103,-0.279003751833218,-0.396505449306377,0.161756812423094,-0.188753888302914,0.0565635687953859,-0.446539932886287,-0.304108339244785,-0.0809548336304571,-0.0769733290453231,-0.208741478048395
"Sex",0.00156925603283034,0.0605150273635517,0.0167613282898905,-0.052315227020675,-0.121988643452533,0.000348784084609673,1,0.0785010583570618,-0.00321885471714217,0.0468177339525545,0.0391010447199321,0.0525311048922381,0.0202162968787169,-0.0534674572613997,0.0802519911536555,-0.0921321385684382,-0.00167802820450666,-0.245344494699094,0.00912847309461099,0.0407928641415429,-0.157936008761909,-0.637751375797399,0.04420765141131,-0.0436203415614729,-0.0446439387283319,-0.0657451426189078,-0.045633975332343,-0.00740849424865947,-0.0527739850782198
"Smoking_PY",-0.0542933175523491,0.126013745253086,0.206799377166474,-0.0268798152575796,0.0164016251401482,-0.223782182249338,0.0785010583570618,1,-0.0263427939594765,-0.369642060202158,0.185270210607049,-0.0253114161043756,0.0816062889797625,0.0558061179504437,0.0304654692898508,0.5614835315866,0.356960941227505,-0.315980372721145,0.347314115530978,0.149793729292754,0.164697970693166,-0.182368940455575,0.881867919085577,0.214314857984828,0.331396269951751,0.233905714503031,0.0878451633122701,0.0264727561198472,0.255687423596558
"Stage_numeric",-0.185003068461766,0.0557933518621752,-0.339259366148334,0.0518444144133911,-0.11975014264488,0.273705423363591,-0.00321885471714217,-0.0263427939594765,1,0.177742073954607,-0.215723616263477,-0.0187644094698154,0.107218729308785,-0.0331049062439601,0.00963342196889544,-0.0329992528544145,0.0328287173467389,0.05150008131862,0.0669156654700467,-0.0541551612158912,-0.163213212288041,0.0506293713311714,-0.0305465182070853,0.562670363385321,-0.133372813904096,-0.11815791904685,-0.0101904956380941,0.0971502072405073,0.0101929386932629
"HPV_Positive",-0.0851353151989511,-0.30057825306887,-0.404813469170314,-0.17030406669642,-0.080243778852166,0.598072148512791,0.0468177339525545,-0.369642060202158,0.177742073954607,1,-0.668090986870034,0.177021453881301,-0.0905018649210495,0.0023053024612721,-0.0332755274460387,-0.657651716622806,-0.434445835351735,-0.0292578765946394,-0.284567299189921,-0.305640661346148,-0.442643152055241,0.39141462902765,-0.3391221832148,-0.165792497645155,-0.835249887336255,-0.481572471318295,-0.202241466800405,-0.098829453907851,-0.237921335147033
"HPV_Unknown",0.127430719575795,0.29940747738339,0.50307920769398,0.259381933480957,0.0818226895468906,-0.713747337054657,0.0391010447199321,0.185270210607049,-0.215723616263477,-0.668090986870034,1,-0.225575449664502,0.0758397570465314,0.0147914226886145,-0.0135295951606758,0.407806810712844,0.243843322235434,-0.0815005809913114,0.0788958038999698,0.456081997710079,0.302602743094693,-0.271027056354097,0.154333042661992,0.0210552814883448,0.505637881872853,0.420671500251673,0.168594197237087,0.0903785295776342,0.288725069591379
"RT_year",-0.01908712202257,-0.0654991137575486,0.0111003862450563,-0.0764971775136161,0.0460083147728892,0.0508603234169319,0.0525311048922381,-0.0253114161043756,-0.0187644094698154,0.177021453881301,-0.225575449664502,1,0.0408398683596595,-0.0811301127925896,0.219352477542569,-0.293074161642877,-0.275590120872659,0.24921983043845,-0.36321123234903,-0.104164581725686,-0.216331606795108,0.0608413167157486,-0.00503614592751055,-0.165409221870539,-0.124766458227787,-0.25449906414588,-0.749103088152403,-0.000997575757491872,-0.59083939931839
"Age",0.0968655123505619,0.119974350246317,0.0394787441165581,0.0293779058276424,-0.0749218867759817,-0.112589914352881,0.0202162968787169,0.0816062889797625,0.107218729308785,-0.0905018649210495,0.0758397570465314,0.0408398683596595,1,0.0502010716492198,0.197312800416483,0.368533170868969,0.195562376573803,0.210817725418359,0.072349519070987,0.12769550006369,0.140183424629393,-0.148856241678071,-0.0117018192091738,-0.220414594628431,0.15838193232518,0.0437367679495497,0.0016054996472232,0.758668743906135,-0.0395765924704815
"BED_DI",-0.0015297913758063,-0.00595631388390352,-0.0189950217519456,-0.00327854379494484,0.0316356124061764,0.0115742820855084,-0.0534674572613997,0.0558061179504437,-0.0331049062439601,0.0023053024612721,0.0147914226886145,-0.0811301127925896,0.0502010716492198,1,-0.00432306840627672,0.043599791559442,-0.0359146163687929,-0.022983118286333,0.0199815623474145,0.0485444204597242,0.016932666204476,0.0135748419282156,0.0178867839365245,-0.0112607692443208,-0.00747337360376886,0.00481375329431922,0.0538600490825375,0.0527618613789477,0.0347123198741111
